Economy,Economy Name,Date,Gdp,Units,Source,Notes
01_AUS,Australia,2013,1114543.47,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2014,1142972.015,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2015,1169437.604,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2016,1201021.961,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2017,1229552.52,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2018,1263740.164,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2019,1288779.096,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2020,1261239.585,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2021,1323122.309,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2022,1372739.281,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2023,1398668.628,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2024,1423872.478,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2025,1452512.099,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2026,1483745.484,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2027,1517587.792,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2028,1551314.665,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2029,1584565.893,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2030,1619319.685,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2031,1654167.194,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2032,1691229.656,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2033,1727888.896,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
01_AUS,Australia,2034,1765428.591,Millions (2017 USD PPP),APEC_GDP_data_20240902.csv,Historical real_GDP; same units as leap_transport 9th_macro_data.csv Gdp column.
